Brand,Variety,Style,Country,Stars
254,308,5,35,medium
299,2410,6,35,high
6,1244,4,17,medium
77,1876,5,17,medium
159,1014,5,19,medium
192,569,1,18,high
7,1036,4,18,medium
116,2077,5,5,high
51,45,5,32,medium
161,768,5,18,high
154,882,5,33,medium
192,2204,5,18,high
262,1088,5,35,low
328,130,5,32,medium
289,2374,5,18,medium
298,2102,5,35,medium
16,1148,5,22,medium
61,568,5,30,medium
176,655,4,34,low
35,1009,5,14,very_low
192,2279,5,35,medium
337,2,5,32,medium
195,1903,5,30,medium
116,88,5,5,medium
157,880,4,33,medium
154,870,1,33,medium
155,21,5,16,medium
279,1242,5,32,low
159,1803,5,19,medium
275,1447,4,0,low
263,1611,1,5,medium
197,2340,5,19,high
243,335,5,35,medium
183,1722,1,18,high
233,811,5,18,very_low
162,1361,5,5,medium
321,1013,5,32,very_low
192,527,4,35,low
118,53,5,32,medium
160,1866,1,18,high
324,1826,5,13,medium
192,469,5,18,medium
261,1920,5,25,low
160,33,5,35,medium
331,1305,5,19,medium
6,1239,5,17,medium
163,1428,1,33,low
241,139,5,34,medium
192,528,4,5,medium
171,1827,5,37,medium
331,2215,5,19,high
255,1997,5,17,high
195,2221,4,30,high
248,1848,5,30,low
110,2041,5,17,high
134,1277,5,29,medium
192,1177,1,18,high
231,1785,6,30,low
230,183,5,26,low
55,1227,5,5,medium
263,358,5,5,high
181,1585,5,19,high
192,347,4,33,medium
80,762,1,30,low
192,525,4,35,high
195,1810,6,30,high
249,1377,1,30,high
160,1988,5,20,medium
192,458,4,11,medium
138,157,5,18,high
110,1259,5,17,medium
11,2197,5,32,high
319,11,5,32,medium
258,1853,1,30,high
207,127,5,18,medium
227,1407,5,30,high
327,1194,5,37,high
263,359,5,5,medium
110,1251,5,17,high
170,846,5,30,medium
84,2021,4,5,medium
208,2016,5,30,low
192,612,5,14,high
183,1229,5,29,high
157,90,5,33,low
208,1924,4,18,medium
206,1727,5,20,medium
5,2004,5,19,medium
155,839,5,16,medium
195,1086,5,30,high
168,1295,5,17,medium
109,1371,1,18,high
162,113,5,5,medium
336,983,5,32,high
192,432,4,18,high
132,2217,5,34,medium
249,1816,4,30,medium
74,1411,5,14,medium
330,162,1,37,high
153,1197,5,26,very_low
100,2265,5,18,high
174,1488,5,32,high
240,1170,1,37,low
108,783,5,19,medium
245,39,5,18,medium
8,1303,5,19,medium
63,1435,4,0,medium
177,1440,4,4,very_low
318,1210,1,32,high
44,1502,5,23,low
286,1884,1,32,high
261,1922,5,25,medium
326,118,4,34,very_low
110,1257,5,17,high
195,221,1,35,medium
51,48,5,32,medium
88,327,5,4,medium
195,1987,5,30,high
4,908,5,32,high
249,1815,5,30,high
195,1857,4,30,very_low
7,1836,4,18,medium
160,1862,1,18,high
192,488,4,6,low
192,425,4,18,high
123,657,6,14,high
192,588,1,14,medium
113,1152,5,18,high
160,1701,5,35,low
7,1035,4,18,low
192,479,5,29,high
192,442,4,18,high
93,1892,5,5,medium
192,2271,5,16,high
192,177,4,14,high
168,1317,5,17,high
18,1097,5,4,very_low
329,850,1,37,medium
192,615,5,18,medium
280,548,4,19,low
350,1077,5,33,high
183,2399,6,18,high
327,1155,1,32,medium
275,1437,4,0,medium
153,2170,1,26,medium
343,2260,5,5,high
167,1594,5,19,medium
208,256,5,30,high
192,493,4,20,medium
74,315,5,14,medium
192,237,1,35,medium
330,1469,5,37,medium
195,1896,1,30,medium
110,1257,5,17,high
330,1120,6,37,medium
81,2030,1,18,medium
330,1121,5,37,low
192,468,4,14,high
252,116,1,18,high
192,1235,1,18,high
51,46,5,32,high
176,2199,4,34,low
16,689,5,22,medium
192,276,5,18,high
275,1441,4,0,high
208,2123,5,30,medium
160,2390,6,35,low
192,511,4,11,medium
160,1480,5,18,medium
336,1033,5,32,medium
159,685,4,19,low
302,885,5,28,high
237,971,5,33,medium
192,173,4,35,medium
329,849,1,37,medium
157,1005,5,33,high
220,1348,5,1,medium
218,2051,5,17,medium
208,164,5,30,high
341,144,5,32,high
71,827,6,35,medium
325,1356,5,18,very_low
72,1372,1,18,medium
219,349,4,34,low
183,2042,5,18,very_low
118,52,5,32,high
77,1311,5,17,medium
153,2168,1,26,low
132,967,5,34,medium
55,761,1,5,high
192,346,5,33,high
336,739,5,32,low
182,1203,5,19,high
110,1484,5,24,very_low
192,629,5,18,medium
208,1386,1,30,medium
206,1615,5,30,medium
61,568,4,30,medium
329,1399,4,37,medium
157,81,5,33,very_low
330,1470,5,37,medium
176,1893,4,34,high
23,2155,1,34,low
329,2350,1,37,high
153,2047,5,26,medium
160,1707,5,35,low
157,1934,4,21,medium
254,1531,4,35,medium
154,1728,5,21,low
52,1612,5,14,high
13,2003,1,35,medium
116,822,5,5,medium
49,2208,4,18,medium
192,2275,5,35,medium
78,842,5,37,medium
192,2276,5,35,high
127,1037,1,32,very_low
157,535,4,33,high
89,1894,5,33,very_low
212,1508,5,33,medium
192,1733,1,18,high
208,1076,5,30,medium
330,780,5,37,medium
79,864,4,35,medium
297,929,4,33,low
31,1536,5,19,high
209,1144,5,37,very_low
160,1989,5,20,low
174,2321,5,32,high
192,1651,1,29,medium
192,174,4,35,medium
44,1505,4,23,low
167,1616,5,19,medium
192,426,4,18,high
332,308,5,33,very_low
327,1358,5,37,very_low
51,44,5,32,high
329,314,5,37,medium
329,1510,4,37,very_low
4,2345,5,32,medium
192,1101,1,18,high
183,397,5,18,medium
28,1095,1,30,medium
214,901,5,26,medium
192,623,5,18,low
123,1416,1,14,medium
192,431,4,18,high
37,701,5,32,very_low
51,190,5,32,medium
276,1696,6,35,high
195,219,1,35,medium
118,54,5,32,medium
57,1590,5,19,medium
153,1179,5,26,medium
274,2313,5,18,medium
329,2295,5,37,low
164,1332,5,18,medium
110,1270,5,17,high
101,1655,5,30,medium
208,2081,4,30,medium
192,1541,6,35,low
305,1485,1,32,very_low
319,1214,1,32,high
326,120,4,34,low
123,671,7,5,medium
159,295,4,19,high
332,340,5,33,medium
154,1729,5,21,medium
192,1743,1,18,high
192,460,4,11,low
183,2182,1,18,high
330,735,5,37,medium
106,105,5,31,medium
181,1567,5,19,high
23,2142,5,34,high
228,1431,5,32,medium
192,2067,1,18,high
192,444,4,35,medium
219,156,4,34,very_low
192,2009,1,35,medium
192,2272,5,35,medium
162,1307,5,5,high
19,824,5,5,very_low
230,1552,5,26,low
192,592,5,18,medium
275,1445,4,0,low
51,49,5,32,high
164,2265,5,18,medium
120,547,4,29,high
155,1588,5,19,medium
206,831,4,30,low
192,1741,1,18,high
192,526,4,35,high
6,1869,4,17,high
158,307,5,35,medium
35,2121,6,5,low
330,560,5,37,high
183,1686,1,18,very_low
192,1742,5,18,high
249,268,5,30,medium
192,427,4,18,medium
12,2406,5,27,medium
343,1835,1,5,medium
45,2000,4,35,very_low
318,138,5,32,high
155,837,4,19,medium
160,203,1,35,medium
90,59,6,30,very_low
157,936,5,3,high
208,1131,4,30,high
24,1241,5,37,low
332,1669,5,33,medium
16,1340,5,22,medium
289,556,5,18,high
131,1667,5,14,medium
318,1353,5,37,very_low
134,1276,5,29,high
168,1292,5,17,high
314,1833,5,32,high
110,2044,5,17,high
291,6,5,35,medium
21,981,5,8,medium
192,1041,5,29,high
165,2220,1,18,high
161,1374,1,18,high
320,65,5,32,medium
208,2019,5,30,medium
280,949,4,19,medium
160,859,5,18,medium
206,1054,5,30,low
254,364,5,35,high
130,997,6,33,medium
23,2151,5,34,very_low
23,2154,5,34,medium
181,1560,5,19,high
159,1342,5,19,medium
154,1006,5,33,medium
192,437,4,18,medium
43,1300,5,19,low
183,313,5,29,medium
118,51,5,32,high
192,521,4,14,medium
214,2371,5,26,medium
35,1792,5,5,low
245,1880,5,18,high
192,454,4,35,low
192,639,1,18,medium
201,817,5,30,medium
74,2090,5,14,medium
110,1268,5,17,high
19,85,5,5,low
82,1712,1,35,low
192,492,4,2,medium
192,447,4,14,medium
183,1182,1,29,high
150,420,1,5,medium
192,1220,4,20,low
245,2031,5,18,high
333,1777,1,30,medium
192,489,4,6,medium
298,1772,6,35,low
59,1767,4,17,high
79,303,5,35,medium
249,1199,5,30,high
327,1196,5,32,medium
88,2328,4,4,low
168,1281,5,17,medium
341,2109,5,32,high
249,694,5,30,medium
343,301,5,5,medium
192,499,4,29,medium
254,1125,5,18,medium
120,1355,4,29,medium
157,990,5,3,high
319,2137,1,32,low
192,2287,5,16,medium
160,896,4,35,low
55,64,1,5,high
192,622,5,14,high
330,779,5,37,low
143,1889,6,5,very_low
116,678,5,5,high
339,929,5,4,medium
206,1639,5,30,medium
151,1031,5,35,medium
192,519,4,29,medium
233,809,5,18,low
121,322,4,34,high
289,2129,5,18,high
155,1219,5,16,medium
192,1115,4,18,medium
336,708,5,32,medium
192,477,4,16,very_low
114,1969,5,19,medium
191,2035,6,37,medium
192,621,5,14,high
85,2228,4,34,high
192,2398,1,18,high
157,350,5,21,medium
155,24,5,16,low
192,440,4,18,high
177,2324,5,4,low
120,1952,1,29,high
327,1173,5,32,medium
56,2030,4,35,medium
70,313,1,5,low
298,133,5,35,low
157,961,5,33,high
157,988,5,33,high
333,1125,1,30,medium
15,979,5,15,low
342,2107,5,32,medium
7,405,1,18,high
195,1633,5,5,high
254,143,5,35,high
157,878,4,33,high
192,475,4,33,medium
98,1094,5,30,medium
163,2252,1,33,medium
324,740,5,13,medium
296,993,5,11,medium
195,645,6,30,high
88,154,4,4,low
84,1138,1,5,medium
254,308,4,35,medium
192,1544,6,35,medium
262,695,5,35,medium
214,902,5,26,medium
216,1458,5,10,medium
157,972,5,33,medium
192,578,4,14,medium
332,1325,5,33,medium
350,951,5,33,medium
57,929,5,19,medium
346,1322,5,35,high
309,1327,5,18,low
254,1931,5,18,low
177,240,1,4,low
295,681,4,34,very_low
160,2219,5,18,medium
183,1047,5,35,high
227,697,5,30,low
74,2164,5,14,low
129,1153,5,18,high
13,1413,6,35,medium
161,1177,1,18,medium
249,1201,5,30,medium
208,1067,5,30,medium
320,269,5,32,low
250,2375,1,18,medium
201,843,1,30,medium
134,1496,5,29,medium
20,2057,5,5,medium
298,2102,1,35,medium
330,561,5,37,medium
154,881,5,33,medium
181,1233,5,19,medium
336,2359,5,32,medium
282,1860,5,17,medium
206,160,4,30,high
183,2307,5,18,high
254,844,5,35,low
331,2214,5,19,high
116,2079,5,5,high
183,395,5,18,low
162,1306,5,5,medium
332,1668,4,33,low
195,278,1,35,high
65,2402,1,33,medium
116,77,1,5,very_low
277,2257,1,33,medium
192,467,4,29,medium
174,1877,5,32,medium
192,376,6,35,medium
192,365,6,35,medium
195,60,5,35,medium
183,329,5,29,medium
208,2020,5,30,medium
323,2369,5,37,low
20,1829,5,5,high
192,1238,1,18,high
160,2377,6,35,high
240,1157,1,37,medium
319,1212,1,32,high
192,446,4,14,low
192,1737,5,35,high
116,99,5,5,medium
