Brand,Variety,Style,Country,Stars
298,2102,5,35,0
16,1148,5,22,0
61,568,5,30,0
176,655,4,34,0
35,1009,5,14,0
192,2279,5,35,0
337,2,5,32,0
195,1903,5,30,1
116,88,5,5,1
157,880,4,33,0
154,870,1,33,1
155,21,5,16,0
279,1242,5,32,0
159,1803,5,19,0
275,1447,4,0,0
263,1611,1,5,1
197,2340,5,19,1
243,335,5,35,0
183,1722,1,18,1
233,811,5,18,0
162,1361,5,5,0
321,1013,5,32,0
192,527,4,35,0
118,53,5,32,1
160,1866,1,18,1
324,1826,5,13,0
192,469,5,18,0
261,1920,5,25,0
160,33,5,35,0
331,1305,5,19,0
6,1239,5,17,1
163,1428,1,33,0
241,139,5,34,0
192,528,4,5,0
171,1827,5,37,0
331,2215,5,19,1
255,1997,5,17,1
195,2221,4,30,1
248,1848,5,30,0
110,2041,5,17,1
134,1277,5,29,0
192,1177,1,18,1
231,1785,6,30,0
230,183,5,26,0
55,1227,5,5,0
263,358,5,5,1
181,1585,5,19,1
192,347,4,33,0
80,762,1,30,0
192,525,4,35,1
195,1810,6,30,1
249,1377,1,30,1
160,1988,5,20,0
192,458,4,11,0
138,157,5,18,1
110,1259,5,17,0
11,2197,5,32,1
319,11,5,32,0
258,1853,1,30,1
207,127,5,18,0
227,1407,5,30,1
327,1194,5,37,1
263,359,5,5,1
110,1251,5,17,1
170,846,5,30,0
84,2021,4,5,0
208,2016,5,30,0
192,612,5,14,1
183,1229,5,29,1
157,90,5,33,0
208,1924,4,18,0
206,1727,5,20,1
5,2004,5,19,0
155,839,5,16,0
195,1086,5,30,1
168,1295,5,17,1
109,1371,1,18,1
162,113,5,5,1
336,983,5,32,1
192,432,4,18,1
132,2217,5,34,0
249,1816,4,30,0
74,1411,5,14,1
330,162,1,37,1
153,1197,5,26,0
100,2265,5,18,1
174,1488,5,32,1
240,1170,1,37,0
108,783,5,19,0
245,39,5,18,0
8,1303,5,19,0
63,1435,4,0,1
177,1440,4,4,0
318,1210,1,32,1
44,1502,5,23,0
286,1884,1,32,1
261,1922,5,25,0
326,118,4,34,0
110,1257,5,17,1
195,221,1,35,1
51,48,5,32,1
88,327,5,4,0
195,1987,5,30,1
4,908,5,32,1
249,1815,5,30,1
195,1857,4,30,0
7,1836,4,18,0
160,1862,1,18,1
192,488,4,6,0
192,425,4,18,1
123,657,6,14,1
192,588,1,14,1
113,1152,5,18,1
160,1701,5,35,0
7,1035,4,18,0
192,479,5,29,1
192,442,4,18,1
93,1892,5,5,1
192,2271,5,16,1
192,177,4,14,1
168,1317,5,17,1
18,1097,5,4,0
329,850,1,37,0
192,615,5,18,1
280,548,4,19,0
350,1077,5,33,1
183,2399,6,18,1
327,1155,1,32,0
275,1437,4,0,0
153,2170,1,26,0
343,2260,5,5,1
167,1594,5,19,0
208,256,5,30,1
192,493,4,20,0
74,315,5,14,1
192,237,1,35,0
330,1469,5,37,1
195,1896,1,30,0
110,1257,5,17,1
330,1120,6,37,0
81,2030,1,18,0
330,1121,5,37,0
192,468,4,14,1
252,116,1,18,1
192,1235,1,18,1
51,46,5,32,1
176,2199,4,34,0
16,689,5,22,0
192,276,5,18,1
275,1441,4,0,1
208,2123,5,30,0
160,2390,6,35,0
192,511,4,11,0
160,1480,5,18,0
336,1033,5,32,1
159,685,4,19,0
302,885,5,28,1
237,971,5,33,0
192,173,4,35,0
329,849,1,37,0
157,1005,5,33,1
220,1348,5,1,1
218,2051,5,17,0
208,164,5,30,1
341,144,5,32,1
71,827,6,35,1
325,1356,5,18,0
72,1372,1,18,0
219,349,4,34,0
183,2042,5,18,0
118,52,5,32,1
77,1311,5,17,0
153,2168,1,26,0
132,967,5,34,1
55,761,1,5,1
192,346,5,33,1
336,739,5,32,0
182,1203,5,19,1
110,1484,5,24,0
192,629,5,18,0
208,1386,1,30,1
206,1615,5,30,0
61,568,4,30,0
329,1399,4,37,0
157,81,5,33,0
330,1470,5,37,0
176,1893,4,34,1
23,2155,1,34,0
329,2350,1,37,1
153,2047,5,26,0
160,1707,5,35,0
157,1934,4,21,0
254,1531,4,35,0
154,1728,5,21,0
52,1612,5,14,1
13,2003,1,35,1
116,822,5,5,1
49,2208,4,18,0
192,2275,5,35,0
78,842,5,37,0
192,2276,5,35,1
127,1037,1,32,0
157,535,4,33,1
89,1894,5,33,0
212,1508,5,33,0
192,1733,1,18,1
208,1076,5,30,1
330,780,5,37,0
79,864,4,35,1
297,929,4,33,0
31,1536,5,19,1
209,1144,5,37,0
160,1989,5,20,0
174,2321,5,32,1
192,1651,1,29,0
192,174,4,35,0
44,1505,4,23,0
167,1616,5,19,0
192,426,4,18,1
332,308,5,33,0
327,1358,5,37,0
51,44,5,32,1
329,314,5,37,0
329,1510,4,37,0
4,2345,5,32,0
192,1101,1,18,1
183,397,5,18,0
28,1095,1,30,0
214,901,5,26,0
192,623,5,18,0
123,1416,1,14,1
192,431,4,18,1
37,701,5,32,0
51,190,5,32,0
276,1696,6,35,1
195,219,1,35,0
118,54,5,32,1
57,1590,5,19,1
153,1179,5,26,0
274,2313,5,18,0
329,2295,5,37,0
164,1332,5,18,0
110,1270,5,17,1
101,1655,5,30,1
208,2081,4,30,0
192,1541,6,35,0
